team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
South Korea,F,12,DF,Kim Min-woo,1990-02-25,28,18,1,Sangju Sangmu,1,https://en.wikipedia.org/wiki/Kim_Min-woo_(footballer),"Jinju, South Gyeongsang,South Korea",128.1076213,35.1799817
South Korea,F,13,MF,Koo Ja-cheol,1989-02-27,29,66,19,FC Augsburg,1,https://en.wikipedia.org/wiki/Koo_Ja-cheol,"Nonsan, South Chungcheong, South Korea",127.0987453,36.1870656
South Korea,F,14,DF,Hong Chul,1990-09-17,27,14,0,Sangju Sangmu,1,https://en.wikipedia.org/wiki/Hong_Chul,"Hwaseong, Gyeonggi, South Korea",126.8311887,37.1994932
South Korea,F,15,MF,Jung Woo-young,1989-12-14,28,28,1,Vissel Kobe,1,https://en.wikipedia.org/wiki/Jung_Woo-young,"Ulsan, South Korea",129.3113596,35.5383773
South Korea,F,16,MF,Ki Sung-yueng ,1989-01-24,29,100,10,Swansea City,1,https://en.wikipedia.org/wiki/Ki_Sung-yueng,"Gwangju, South Korea",126.8526012,35.1595454
South Korea,F,17,MF,Lee Jae-sung,1992-08-10,25,33,6,Jeonbuk Hyundai Motors,1,"https://en.wikipedia.org/wiki/Lee_Jae-sung_(footballer,_born_1992)","Ulsan, South Korea",129.3113596,35.5383773
South Korea,F,18,MF,Moon Seon-min,1992-06-09,25,2,1,Incheon United,1,https://en.wikipedia.org/wiki/Moon_Seon-min,"Seoul, South Korea",126.9779692,37.566535
South Korea,F,19,DF,Kim Young-gwon,1990-02-27,28,51,2,Guangzhou Evergrande,1,https://en.wikipedia.org/wiki/Kim_Young-gwon,"Jeonju, South Korea",127.1479532,35.8242238
South Korea,F,20,DF,Jang Hyun-soo,1991-09-28,26,49,3,FC Tokyo,1,https://en.wikipedia.org/wiki/Jang_Hyun-soo,"Seoul, South Korea",126.9779692,37.566535
South Korea,F,21,GK,Kim Jin-hyeon,1987-07-06,30,14,0,Cerezo Osaka,1,https://en.wikipedia.org/wiki/Kim_Jin-hyeon,"Suwon, South Korea",127.0286009,37.2635727
South Korea,F,22,DF,Go Yo-han,1988-03-10,30,19,0,FC Seoul,1,https://en.wikipedia.org/wiki/Go_Yo-han,"Masan, South Korea",128.581433,35.213516
South Korea,F,23,GK,Cho Hyun-woo,1991-09-25,26,5,0,Daegu FC,1,https://en.wikipedia.org/wiki/Cho_Hyun-woo,South Korea,127.766922,35.907757
Sweden,F,1,GK,Robin Olsen,1990-01-08,28,17,0,Copenhagen,1,https://en.wikipedia.org/wiki/Robin_Olsen,"Malmö, Sweden",13.003822,55.604981
Sweden,F,2,DF,Mikael Lustig,1986-12-13,31,65,6,Celtic,1,https://en.wikipedia.org/wiki/Mikael_Lustig,"Umeå, Sweden",20.2630354,63.8258471
Sweden,F,3,DF,Victor Lindelöf,1994-07-17,23,20,1,Manchester United,1,https://en.wikipedia.org/wiki/Victor_Lindel%C3%B6f,"Västerås, Sweden",16.5448092,59.60990049999999
Sweden,F,4,DF,Andreas Granqvist ,1985-04-16,33,71,6,Krasnodar,1,https://en.wikipedia.org/wiki/Andreas_Granqvist,"Påarp, Sweden",12.814264,56.0285617
Sweden,F,5,DF,Martin Olsson,1988-05-17,30,43,5,Swansea City,1,https://en.wikipedia.org/wiki/Martin_Olsson,"Gävle, Sweden",17.1412726,60.6748796
Sweden,F,6,DF,Ludwig Augustinsson,1994-04-21,24,14,0,Werder Bremen,1,https://en.wikipedia.org/wiki/Ludwig_Augustinsson,"Stockholm, Sweden",18.0685808,59.32932349999999
Sweden,F,7,MF,Sebastian Larsson,1985-06-06,32,99,6,Hull City,1,https://en.wikipedia.org/wiki/Sebastian_Larsson,"Eskilstuna, Sweden",16.5098046,59.37124859999999
Sweden,F,8,MF,Albin Ekdal,1989-07-28,28,33,0,Hamburger SV,1,https://en.wikipedia.org/wiki/Albin_Ekdal,"Stockholm, Sweden",18.0685808,59.32932349999999
Sweden,F,9,FW,Marcus Berg,1986-08-17,31,56,18,Al Ain,1,https://en.wikipedia.org/wiki/Marcus_Berg,"Torsby, Sweden",13.0102132,60.14090719999999
Sweden,F,10,MF,Emil Forsberg,1991-10-23,26,35,6,RB Leipzig,1,https://en.wikipedia.org/wiki/Emil_Forsberg,"Sundsvall, Sweden",17.306927,62.390811
Sweden,F,11,FW,John Guidetti,1992-04-15,26,20,1,Alavés,1,https://en.wikipedia.org/wiki/John_Guidetti,"Stockholm, Sweden",18.0685808,59.32932349999999
Sweden,F,12,GK,Karl-Johan Johnsson,1990-01-28,28,5,0,Guingamp,1,https://en.wikipedia.org/wiki/Karl-Johan_Johnsson,"Ränneslöv, Sweden",13.0715797,56.4530442
Sweden,F,13,MF,Gustav Svensson,1987-02-07,31,12,0,Seattle Sounders FC,1,https://en.wikipedia.org/wiki/Gustav_Svensson,"Gothenburg, Sweden",11.97456,57.70887
Sweden,F,14,DF,Filip Helander,1993-04-22,25,4,0,Bologna,1,https://en.wikipedia.org/wiki/Filip_Helander,"Malmö, Sweden",13.003822,55.604981
Sweden,F,15,MF,Oscar Hiljemark,1992-06-28,25,21,2,Genoa,1,https://en.wikipedia.org/wiki/Oscar_Hiljemark,"Gislaved, Sweden",13.54326,57.2985
Sweden,F,16,DF,Emil Krafth,1994-08-02,23,12,0,Bologna,1,https://en.wikipedia.org/wiki/Emil_Krafth,"Stockholm, Sweden",18.0685808,59.32932349999999
Sweden,F,17,MF,Viktor Claesson,1992-01-02,26,21,3,Krasnodar,1,https://en.wikipedia.org/wiki/Viktor_Claesson,"Värnamo, Sweden",14.0478214,57.1831605
Sweden,F,18,DF,Pontus Jansson,1991-02-13,27,15,0,Leeds United,1,https://en.wikipedia.org/wiki/Pontus_Jansson,"Arlöv, Sweden",13.0744097,55.6345009
Sweden,F,19,MF,Marcus Rohdén,1991-05-11,27,11,1,Crotone,1,https://en.wikipedia.org/wiki/Marcus_Rohd%C3%A9n,"Värnamo, Sweden",14.0478214,57.1831605
Sweden,F,20,FW,Ola Toivonen,1986-07-03,31,58,13,Toulouse,1,https://en.wikipedia.org/wiki/Ola_Toivonen,"Degerfors, Sweden",14.4339179,59.2391027
Sweden,F,21,MF,Jimmy Durmaz,1989-03-22,29,45,3,Toulouse,1,https://en.wikipedia.org/wiki/Jimmy_Durmaz,"Örebro, Sweden",15.2134105,59.2752626
Sweden,F,22,FW,Isaac Kiese Thelin,1992-06-24,25,19,2,Waasland-Beveren,1,https://en.wikipedia.org/wiki/Isaac_Kiese_Thelin,"Örebro, Sweden",15.2134105,59.2752626
Sweden,F,23,GK,Kristoffer Nordfeldt,1989-06-23,28,8,0,Swansea City,1,https://en.wikipedia.org/wiki/Kristoffer_Nordfeldt,"Stockholm, Sweden",18.0685808,59.32932349999999
Belgium,G,1,GK,Thibaut Courtois,1992-05-11,26,56,0,Chelsea,1,https://en.wikipedia.org/wiki/Thibaut_Courtois,"Bree, Belgium",5.59802,51.14099
Belgium,G,2,DF,Toby Alderweireld,1989-03-02,29,72,3,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Toby_Alderweireld,"Antwerp, Belgium",4.4024643,51.2194475
Belgium,G,3,DF,Thomas Vermaelen,1985-11-14,32,64,1,Barcelona,1,https://en.wikipedia.org/wiki/Thomas_Vermaelen,"Kapellen, Belgium",4.432400400000001,51.3140004
Belgium,G,4,DF,Vincent Kompany,1986-04-10,32,74,4,Manchester City,1,https://en.wikipedia.org/wiki/Vincent_Kompany,"Uccle, Brussels, Belgium",4.340669999999999,50.8023982
Belgium,G,5,DF,Jan Vertonghen,1987-04-24,31,100,8,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Jan_Vertonghen,"Sint-Niklaas, Belgium",4.154440999999999,51.1558839
Belgium,G,6,MF,Axel Witsel,1989-01-12,29,85,9,Tianjin Quanjian,1,https://en.wikipedia.org/wiki/Axel_Witsel,"Liège, Belgium",5.5796662,50.6325574
Belgium,G,7,MF,Kevin De Bruyne,1991-06-28,26,57,13,Manchester City,1,https://en.wikipedia.org/wiki/Kevin_De_Bruyne,"Drongen, Ghent, Belgium",3.6633,51.05048
Belgium,G,8,MF,Marouane Fellaini,1987-11-22,30,79,16,Manchester United,1,https://en.wikipedia.org/wiki/Marouane_Fellaini,"Etterbeek, Brussels, Belgium",4.3889939,50.832578
Belgium,G,9,FW,Romelu Lukaku,1993-05-13,25,64,30,Manchester United,1,https://en.wikipedia.org/wiki/Romelu_Lukaku,"Antwerp, Belgium",4.4024643,51.2194475
Belgium,G,10,FW,Eden Hazard ,1991-01-07,27,82,21,Chelsea,1,https://en.wikipedia.org/wiki/Eden_Hazard,"La Louvière, Belgium",4.1837388,50.4747995
Belgium,G,11,MF,Yannick Carrasco,1993-09-04,24,23,5,Dalian Yifang,1,https://en.wikipedia.org/wiki/Yannick_Ferreira_Carrasco,"Vilvoorde, Belgium",4.4257868,50.9272511
Belgium,G,12,GK,Simon Mignolet,1988-03-06,30,21,0,Liverpool,1,https://en.wikipedia.org/wiki/Simon_Mignolet,"Sint-Truiden, Belgium",5.1862508,50.8157248
Belgium,G,13,GK,Koen Casteels,1992-06-25,25,0,0,VfL Wolfsburg,1,https://en.wikipedia.org/wiki/Koen_Casteels,"Bonheiden, Belgium",4.54803,51.02221000000001
Belgium,G,14,FW,Dries Mertens,1987-05-06,31,65,13,Napoli,1,https://en.wikipedia.org/wiki/Dries_Mertens,"Leuven, Belgium",4.7005176,50.8798438
