team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
Tunisia,G,4,DF,Yassine Meriah,1993-07-02,24,15,1,CS Sfaxien,1,https://en.wikipedia.org/wiki/Yassine_Meriah,"Aryanah, Tunisia",10.1647233,36.8665367
Tunisia,G,5,DF,Oussama Haddadi,1992-01-28,26,8,0,Dijon,1,https://en.wikipedia.org/wiki/Oussama_Haddadi,"Tunis, Tunisia",10.1815316,36.8064948
Tunisia,G,6,DF,Rami Bedoui,1990-01-19,28,8,0,Étoile du Sahel,1,https://en.wikipedia.org/wiki/Rami_Bedoui,"Sousse, Tunisia",10.634584,35.8245029
Tunisia,G,7,FW,Saîf-Eddine Khaoui,1995-04-27,23,4,0,Troyes,1,https://en.wikipedia.org/wiki/Sa%C3%AEf-Eddine_Khaoui,"Paris, France",2.3522219,48.856614
Tunisia,G,8,FW,Fakhreddine Ben Youssef,1991-06-23,26,38,5,Al-Ettifaq,1,https://en.wikipedia.org/wiki/Fakhreddine_Ben_Youssef,"Tunis, Tunisia",10.1815316,36.8064948
Tunisia,G,9,MF,Anice Badri,1990-09-18,27,6,2,Espérance,1,https://en.wikipedia.org/wiki/Anice_Badri,"Lyon, France",4.835659,45.764043
Tunisia,G,10,FW,Wahbi Khazri,1991-02-08,27,35,12,Rennes,1,https://en.wikipedia.org/wiki/Wahbi_Khazri,"Ajaccio, France",8.738635,41.919229
Tunisia,G,11,DF,Dylan Bronn,1995-06-19,22,4,0,Gent,1,https://en.wikipedia.org/wiki/Dylan_Bronn,"Cannes, France",7.017369,43.552847
Tunisia,G,12,DF,Ali Maâloul,1990-01-01,28,45,0,Al Ahly,1,https://en.wikipedia.org/wiki/Ali_Ma%C3%A2loul,"Sfax, Tunisia",10.7600196,34.739822
Tunisia,G,13,MF,Ferjani Sassi,1992-03-18,26,38,3,Al-Nassr,1,https://en.wikipedia.org/wiki/Ferjani_Sassi,"Aryanah, Tunisia",10.1647233,36.8665367
Tunisia,G,14,MF,Mohamed Amine Ben Amor,1992-05-03,26,25,1,Al-Ahli,1,https://en.wikipedia.org/wiki/Mohamed_Amine_Ben_Amor,"Sousse, Tunisia",10.634584,35.8245029
Tunisia,G,15,FW,Ahmed Khalil,1994-12-21,23,3,0,Club Africain,1,"https://en.wikipedia.org/wiki/Ahmed_Khalil_(footballer,_born_1994)","Kairouan, Tunisia",10.1005469,35.6711663
Tunisia,G,16,GK,Aymen Mathlouthi ,1984-09-14,33,69,0,Al-Batin,1,https://en.wikipedia.org/wiki/Aymen_Mathlouthi,"Tunis, Tunisia",10.1815316,36.8064948
Tunisia,G,17,MF,Ellyes Skhiri,1995-05-10,23,4,0,Montpellier,1,https://en.wikipedia.org/wiki/Ellyes_Skhiri,"Lunel, France",4.135365999999999,43.67445
Tunisia,G,18,FW,Bassem Srarfi,1997-06-25,20,4,0,Nice,1,https://en.wikipedia.org/wiki/Bassem_Srarfi,"Tunis, Tunisia",10.1815316,36.8064948
Tunisia,G,19,FW,Saber Khalifa,1986-10-14,31,43,7,Club Africain,1,https://en.wikipedia.org/wiki/Saber_Khalifa,"Gabès, Tunisia",10.0975221,33.888077
Tunisia,G,20,FW,Ghailene Chaalali,1994-02-28,24,6,1,Espérance,1,https://en.wikipedia.org/wiki/Ghailene_Chaalali,"La Manouba, Tunisia",10.0863269,36.8093284
Tunisia,G,21,DF,Hamdi Nagguez,1992-10-28,25,15,0,Zamalek,1,https://en.wikipedia.org/wiki/Hamdi_Nagguez,"Menzel Kamel, Monastir, Tunisia",10.6675267,35.6232768
Tunisia,G,22,GK,Mouez Hassen,1995-03-05,23,3,0,Châteauroux,1,https://en.wikipedia.org/wiki/Mouez_Hassen,"Fréjus, Var, France",6.737034,43.43315200000001
Tunisia,G,23,FW,Naïm Sliti,1992-07-27,25,16,3,Dijon,1,https://en.wikipedia.org/wiki/Na%C3%AFm_Sliti,"Marseille, France",5.36978,43.296482
Colombia,H,1,GK,David Ospina,1988-08-31,29,86,0,Arsenal,1,https://en.wikipedia.org/wiki/David_Ospina,"Medellín, Colombia",-75.5812119,6.244203
Colombia,H,2,DF,Cristián Zapata,1986-09-30,31,55,2,Milan,1,https://en.wikipedia.org/wiki/Cristi%C3%A1n_Zapata,"Padilla, Colombia",-76.3133579,3.223586
Colombia,H,3,DF,Óscar Murillo,1988-04-18,30,13,0,Pachuca,1,https://en.wikipedia.org/wiki/%C3%93scar_Murillo,"Armenia, Colombia",-75.6756888,4.535000399999999
Colombia,H,4,DF,Santiago Arias,1992-01-13,26,41,0,PSV Eindhoven,1,https://en.wikipedia.org/wiki/Santiago_Arias,"Medellín, Colombia",-75.5812119,6.244203
Colombia,H,5,MF,Wílmar Barrios,1993-10-16,24,10,0,Boca Juniors,1,https://en.wikipedia.org/wiki/W%C3%ADlmar_Barrios,"Cartagena, Colombia",-75.4794257,10.3910485
Colombia,H,6,MF,Carlos Sánchez,1986-02-06,32,85,0,Espanyol,1,https://en.wikipedia.org/wiki/Carlos_S%C3%A1nchez_Moreno,"Quibdó, Colombia",-76.649812,5.695633
Colombia,H,7,FW,Carlos Bacca,1986-09-08,31,45,14,Villarreal,1,https://en.wikipedia.org/wiki/Carlos_Bacca,"Puerto Colombia, Colombia",-74.950761,11.001004
Colombia,H,8,MF,Abel Aguilar,1985-01-06,33,70,7,Deportivo Cali,1,https://en.wikipedia.org/wiki/Abel_Aguilar,"Bogotá, Colombia",-74.072092,4.710988599999999
Colombia,H,9,FW,Radamel Falcao ,1986-02-10,32,73,29,Monaco,1,https://en.wikipedia.org/wiki/Radamel_Falcao,"Santa Marta, Colombia",-74.2110227,11.2403547
Colombia,H,10,MF,James Rodríguez,1991-07-12,26,63,21,Bayern Munich,1,https://en.wikipedia.org/wiki/James_Rodr%C3%ADguez,"Cúcuta, Colombia",-72.4966896,7.8890971
Colombia,H,11,MF,Juan Cuadrado,1988-05-26,30,70,7,Juventus,1,https://en.wikipedia.org/wiki/Juan_Cuadrado,"Necoclí, Colombia",-76.787678,8.427173999999999
Colombia,H,12,GK,Camilo Vargas,1989-03-09,29,5,0,Deportivo Cali,1,https://en.wikipedia.org/wiki/Camilo_Vargas,"Bogotá, Colombia",-74.072092,4.710988599999999
Colombia,H,13,DF,Yerry Mina,1994-09-23,23,12,3,Barcelona,1,https://en.wikipedia.org/wiki/Yerry_Mina,"Guachené, Colombia",-76.393794,3.1329159
Colombia,H,14,FW,Luis Muriel,1991-04-16,27,18,2,Sevilla,1,https://en.wikipedia.org/wiki/Luis_Muriel,"Santo Tomás, Colombia",-74.75649899999999,10.763286
Colombia,H,15,MF,Mateus Uribe,1991-03-21,27,8,0,América,1,https://en.wikipedia.org/wiki/Mateus_Uribe,"Medellín, Colombia",-75.5812119,6.244203
Colombia,H,16,MF,Jefferson Lerma,1994-10-25,23,5,0,Levante,1,https://en.wikipedia.org/wiki/Jefferson_Lerma,"El Cerrito, Colombia",-76.312996,3.684084
Colombia,H,17,DF,Johan Mojica,1992-08-21,25,4,1,Girona,1,https://en.wikipedia.org/wiki/Johan_Mojica,"Cali, Colombia",-76.5319854,3.4516467
Colombia,H,18,DF,Frank Fabra,1991-02-22,27,19,1,Boca Juniors,1,https://en.wikipedia.org/wiki/Farid_D%C3%ADaz,"Valledupar, Colombia",-73.2436335,10.4742449
Colombia,H,19,FW,Miguel Borja,1993-01-26,25,7,2,Palmeiras,1,https://en.wikipedia.org/wiki/Miguel_Borja,"Tierralta, Colombia",-76.062313,8.171571
Colombia,H,20,MF,Juan Fernando Quintero,1993-01-18,25,15,2,River Plate,1,https://en.wikipedia.org/wiki/Juan_Fernando_Quintero,"Medellín, Colombia",-75.5812119,6.244203
Colombia,H,21,FW,José Izquierdo,1992-07-07,25,5,1,Brighton & Hove Albion,1,"https://en.wikipedia.org/wiki/Jos%C3%A9_Izquierdo_(footballer,_born_1992)","Pereira, Colombia",-75.690601,4.8087174
Colombia,H,22,GK,José Fernando Cuadrado,1985-06-01,33,1,0,Once Caldas,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Fernando_Cuadrado,"Valledupar, Cesar, Colombia",-73.2436335,10.4742449
Colombia,H,23,DF,Dávinson Sánchez,1996-06-12,21,9,0,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/D%C3%A1vinson_S%C3%A1nchez,"Caloto, Colombia",-76.408081,3.033544
Japan,H,1,GK,Eiji Kawashima,1983-03-20,35,83,0,Metz,1,https://en.wikipedia.org/wiki/Eiji_Kawashima,"Yono, Saitama, Japan",139.638935,35.88438
Japan,H,2,DF,Naomichi Ueda,1994-10-24,23,3,0,Kashima Antlers,1,https://en.wikipedia.org/wiki/Naomichi_Ueda,"Uto, Kumamoto, Japan",130.6597212,32.6879986
Japan,H,3,DF,Gen Shoji,1992-12-11,25,10,1,Kashima Antlers,1,https://en.wikipedia.org/wiki/Gen_Shoji,"Kobe, Japan",135.1955112,34.690083
Japan,H,4,MF,Keisuke Honda,1986-06-13,31,94,36,Pachuca,1,https://en.wikipedia.org/wiki/Keisuke_Honda,"Settsu, Osaka, Japan",135.5618168,34.7773564
Japan,H,5,DF,Yuto Nagatomo,1986-09-12,31,104,3,Galatasaray,1,https://en.wikipedia.org/wiki/Yuto_Nagatomo,"Saijō, Ehime, Japan",133.1811697,33.9195105
Japan,H,6,DF,Wataru Endo,1993-02-09,25,11,0,Urawa Red Diamonds,1,https://en.wikipedia.org/wiki/Wataru_Endo,"Totsuka-ku, Yokohama, Japan",139.5335074,35.4000014
Japan,H,7,MF,Gaku Shibasaki,1992-05-28,26,16,3,Getafe,1,https://en.wikipedia.org/wiki/Gaku_Shibasaki,"Noheji, Aomori, Japan",141.1287574,40.8644693
Japan,H,8,MF,Genki Haraguchi,1991-05-09,27,31,6,Fortuna Düsseldorf,1,https://en.wikipedia.org/wiki/Genki_Haraguchi,"Kumagaya, Saitama, Japan",139.3886446,36.1473097
Japan,H,9,FW,Shinji Okazaki,1986-04-16,32,112,50,Leicester City,1,https://en.wikipedia.org/wiki/Shinji_Okazaki,"Takarazuka, Hyōgo, Japan",135.3600729,34.7997673
Japan,H,10,MF,Shinji Kagawa,1989-03-17,29,90,29,Borussia Dortmund,1,https://en.wikipedia.org/wiki/Shinji_Kagawa,"Kobe, Hyōgo, Japan",135.1955112,34.690083
Japan,H,11,MF,Takashi Usami,1992-05-06,26,22,3,Fortuna Düsseldorf,1,https://en.wikipedia.org/wiki/Takashi_Usami,"Nagaokakyō, Kyoto, Japan",135.6957852,34.926771
Japan,H,12,GK,Masaaki Higashiguchi,1986-05-12,32,4,0,Gamba Osaka,1,https://en.wikipedia.org/wiki/Masaaki_Higashiguchi,"Takatsuki, Osaka, Japan",135.6172716,34.8461585
Japan,H,13,FW,Yoshinori Mutō,1992-07-15,25,22,2,Mainz 05,1,https://en.wikipedia.org/wiki/Yoshinori_Muto,"Setagaya, Tokyo, Japan",139.6532473,35.6465721
Japan,H,14,MF,Takashi Inui,1988-06-02,30,25,2,Eibar,1,https://en.wikipedia.org/wiki/Takashi_Inui,"Ōmihachiman, Japan",136.0979067,35.1283386
Japan,H,15,FW,Yuya Osako,1990-05-18,28,27,7,1. FC Köln,1,https://en.wikipedia.org/wiki/Yuya_Osako,"Kaseda, Kagoshima, Japan",130.5571158,31.5965535
Japan,H,16,MF,Hotaru Yamaguchi,1990-10-06,27,41,2,Cerezo Osaka,1,https://en.wikipedia.org/wiki/Hotaru_Yamaguchi,"Nabari, Mie, Japan",136.1082959,34.6276593
Japan,H,17,MF,Makoto Hasebe ,1984-01-18,34,109,2,Eintracht Frankfurt,1,https://en.wikipedia.org/wiki/Makoto_Hasebe,"Fujieda, Shizuoka, Japan",138.2574584,34.8673673
Japan,H,18,MF,Ryota Oshima,1993-01-23,25,4,0,Kawasaki Frontale,1,https://en.wikipedia.org/wiki/Ryota_Oshima,"Shimizu-ku, Shizuoka, Japan",138.4895275,35.0158879
Japan,H,19,DF,Hiroki Sakai,1990-04-12,28,41,0,Marseille,1,https://en.wikipedia.org/wiki/Hiroki_Sakai,"Kashiwa, Chiba, Japan",139.9758505,35.8676124
Japan,H,20,DF,Tomoaki Makino,1987-05-11,31,31,4,Urawa Red Diamonds,1,https://en.wikipedia.org/wiki/Tomoaki_Makino,"Nishi-ku, Hiroshima, Japan",132.4344208,34.3939716
Japan,H,21,DF,Gōtoku Sakai,1991-03-14,27,39,0,Hamburger SV,1,https://en.wikipedia.org/wiki/G%C5%8Dtoku_Sakai,"New York City, United States",-74.0059728,40.7127753
Japan,H,22,DF,Maya Yoshida,1988-08-24,29,81,10,Southampton,1,https://en.wikipedia.org/wiki/Maya_Yoshida,"Nagasaki, Japan",129.877667,32.7502856
Japan,H,23,GK,Kosuke Nakamura,1995-02-27,23,3,0,Kashiwa Reysol,1,https://en.wikipedia.org/wiki/Kosuke_Nakamura,"Kita, Tokyo, Japan",139.7334805,35.7528042
Poland,H,1,GK,Wojciech Szczęsny,1990-04-18,28,33,0,Juventus,1,https://en.wikipedia.org/wiki/Wojciech_Szcz%C4%99sny,"Warsaw, Poland",21.0122287,52.2296756
Poland,H,2,DF,Michał Pazdan,1987-09-21,30,31,0,Legia Warsaw,1,https://en.wikipedia.org/wiki/Micha%C5%82_Pazdan,"Kraków, Poland",19.9449799,50.06465009999999
Poland,H,3,DF,Artur Jędrzejczyk,1987-11-04,30,35,3,Legia Warsaw,1,https://en.wikipedia.org/wiki/Artur_J%C4%99drzejczyk,"Dębica, Poland",21.4116964,50.0516417
Poland,H,4,DF,Thiago Cionek,1986-04-21,32,17,0,SPAL,1,https://en.wikipedia.org/wiki/Thiago_Cionek,"Curitiba, Brazil",-49.3044253,-25.4808762
Poland,H,5,DF,Jan Bednarek,1996-04-12,22,1,0,Southampton,1,https://en.wikipedia.org/wiki/Jan_Bednarek_(footballer),"Słupca, Poland",17.8720745,52.287267
Poland,H,6,MF,Jacek Góralski,1992-09-21,25,3,0,Ludogorets Razgrad,1,https://en.wikipedia.org/wiki/Jacek_G%C3%B3ralski,"Bydgoszcz, Poland",18.0084378,53.12348040000001
Poland,H,7,FW,Arkadiusz Milik,1994-02-28,24,38,12,Napoli,1,https://en.wikipedia.org/wiki/Arkadiusz_Milik,"Tychy, Poland",19.0200023,50.12180069999999
Poland,H,8,MF,Karol Linetty,1995-02-02,23,19,1,Sampdoria,1,https://en.wikipedia.org/wiki/Karol_Linetty,"Żnin, Poland",17.719477,52.84938469999999
Poland,H,9,FW,Robert Lewandowski ,1988-08-21,29,93,52,Bayern Munich,1,https://en.wikipedia.org/wiki/Robert_Lewandowski,"Warsaw, Poland",21.0122287,52.2296756
Poland,H,10,MF,Grzegorz Krychowiak,1990-01-29,28,49,2,West Bromwich Albion,1,https://en.wikipedia.org/wiki/Grzegorz_Krychowiak,"Gryfice, Poland",15.1998891,53.91666000000001
Poland,H,11,MF,Kamil Grosicki,1988-06-08,29,56,12,Hull City,1,https://en.wikipedia.org/wiki/Kamil_Grosicki,"Szczecin, Poland",14.5528116,53.4285438
Poland,H,12,GK,Bartosz Białkowski,1987-07-06,30,1,0,Ipswich Town,1,https://en.wikipedia.org/wiki/Bartosz_Bia%C5%82kowski,"Braniewo, Poland",19.8200536,54.3797128
Poland,H,13,MF,Maciej Rybus,1989-08-19,28,49,2,Lokomotiv Moscow,1,https://en.wikipedia.org/wiki/Maciej_Rybus,"Łowicz, Poland",19.9453743,52.10679160000001
Poland,H,14,FW,Łukasz Teodorczyk,1991-06-03,27,15,4,Anderlecht,1,https://en.wikipedia.org/wiki/%C5%81ukasz_Teodorczyk,"Żuromin, Poland",19.9089046,53.0660775
Poland,H,15,DF,Kamil Glik,1988-02-03,30,57,4,Monaco,1,https://en.wikipedia.org/wiki/Kamil_Glik,"Jastrzębie Zdrój, Poland",18.6101103,49.9454207
Poland,H,16,MF,Jakub Błaszczykowski,1985-12-14,32,97,19,VfL Wolfsburg,1,https://en.wikipedia.org/wiki/Jakub_B%C5%82aszczykowski,"Truskolasy, Poland",18.8265593,50.8667691
Poland,H,17,MF,Sławomir Peszko,1985-02-19,33,43,2,Lechia Gdańsk,1,https://en.wikipedia.org/wiki/S%C5%82awomir_Peszko,"Jasło, Poland",21.4722875,49.7445663
Poland,H,18,DF,Bartosz Bereszyński,1992-07-12,25,6,0,Sampdoria,1,https://en.wikipedia.org/wiki/Bartosz_Bereszy%C5%84ski,"Poznań, Poland",16.9251681,52.406374
Poland,H,19,MF,Piotr Zieliński,1994-05-20,24,31,4,Napoli,1,https://en.wikipedia.org/wiki/Piotr_Zieli%C5%84ski,"Ząbkowice Śląskie, Poland",16.8132419,50.5893617
Poland,H,20,DF,Łukasz Piszczek,1985-06-03,33,61,3,Borussia Dortmund,1,https://en.wikipedia.org/wiki/%C5%81ukasz_Piszczek,"Czechowice-Dziedzice, Poland",18.9917677,49.9016056
Poland,H,21,MF,Rafał Kurzawa,1993-01-29,25,3,0,Górnik Zabrze,1,https://en.wikipedia.org/wiki/Rafa%C5%82_Kurzawa,"Wieruszów, Poland",18.1547499,51.29486
Poland,H,22,GK,Łukasz Fabiański,1985-04-18,33,43,0,Swansea City,1,https://en.wikipedia.org/wiki/%C5%81ukasz_Fabia%C5%84ski,"Kostrzyn nad Odrą, Poland",14.6494466,52.58718890000001
Poland,H,23,FW,Dawid Kownacki,1997-03-14,21,1,0,Sampdoria,1,https://en.wikipedia.org/wiki/Dawid_Kownacki,"Gorzów Wielkopolski, Poland",15.2369305,52.7325285
Senegal,H,1,GK,Abdoulaye Diallo,1992-03-30,26,16,0,Rennes,1,https://en.wikipedia.org/wiki/Abdoulaye_Diallo,"Reims, France",4.031696,49.258329
Senegal,H,2,DF,Saliou Ciss,1989-06-15,28,18,0,Valenciennes,1,https://en.wikipedia.org/wiki/Saliou_Ciss,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,3,DF,Kalidou Koulibaly,1991-06-20,26,24,0,Napoli,1,https://en.wikipedia.org/wiki/Kalidou_Koulibaly,"Saint-Dié-des-Vosges, France",6.947767,48.2874679
Senegal,H,4,DF,Kara Mbodji,1989-11-22,28,51,5,Anderlecht,1,https://en.wikipedia.org/wiki/Kara_Mbodji,"Ndiass, Senegal",-17.0879032,14.6373423
Senegal,H,5,MF,Idrissa Gueye,1989-09-26,28,59,1,Everton,1,https://en.wikipedia.org/wiki/Idrissa_Gueye,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,6,MF,Salif Sané,1990-08-25,27,20,0,Hannover 96,1,https://en.wikipedia.org/wiki/Salif_San%C3%A9,"Lormont, France",-0.523108,44.880163
Senegal,H,7,FW,Moussa Sow,1986-01-19,32,50,18,Bursaspor,1,https://en.wikipedia.org/wiki/Moussa_Sow,"Mantes-la-Jolie, France",1.714958,48.989323
Senegal,H,8,MF,Cheikhou Kouyaté ,1989-12-21,28,47,2,West Ham United,1,https://en.wikipedia.org/wiki/Cheikhou_Kouyat%C3%A9,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,9,FW,Mame Biram Diouf,1987-12-16,30,47,10,Stoke City,1,https://en.wikipedia.org/wiki/Mame_Biram_Diouf,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,10,FW,Sadio Mané,1992-04-10,26,51,14,Liverpool,1,https://en.wikipedia.org/wiki/Sadio_Man%C3%A9,"Sédhiou, Senegal",-15.5943388,12.8836881
Senegal,H,11,MF,Cheikh N'Doye,1986-03-29,32,24,3,Birmingham City,1,https://en.wikipedia.org/wiki/Cheikh_N%27Doye,"Rufisque, Senegal",-17.270929,14.71554
Senegal,H,12,DF,Youssouf Sabaly,1993-03-05,25,3,0,Bordeaux,1,https://en.wikipedia.org/wiki/Youssouf_Sabaly,"Le Chesnay, France",2.130544,48.82541500000001
Senegal,H,13,MF,Alfred N'Diaye,1990-03-06,28,19,0,Wolverhampton Wanderers,1,https://en.wikipedia.org/wiki/Alfred_N%27Diaye,"Paris, France",2.3522219,48.856614
Senegal,H,14,FW,Moussa Konaté,1993-04-03,25,27,9,Amiens,1,https://en.wikipedia.org/wiki/Moussa_Konat%C3%A9_(footballer),"M'Bour, Senegal",-16.9653756,14.4228422
Senegal,H,15,FW,Diafra Sakho,1989-12-24,28,10,3,Rennes,1,https://en.wikipedia.org/wiki/Diafra_Sakho,"Guédiawaye, Senegal",-17.3996674,14.7753661
Senegal,H,16,GK,Khadim N'Diaye,1985-04-05,33,25,0,Horoya,1,https://en.wikipedia.org/wiki/Khadim_N%27Diaye,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,17,MF,Badou Ndiaye,1990-10-27,27,18,1,Stoke City,1,https://en.wikipedia.org/wiki/Badou_Ndiaye,"Dakar, Senegal",-17.4676861,14.716677
Senegal,H,18,FW,Ismaïla Sarr,1998-02-25,20,14,2,Rennes,1,https://en.wikipedia.org/wiki/Isma%C3%AFla_Sarr,"Saint-Louis, Senegal",-16.4818167,16.0326307
Senegal,H,19,FW,M'Baye Niang,1994-12-19,23,5,0,Torino,1,https://en.wikipedia.org/wiki/M%27Baye_Niang,"Meulan-en-Yvelines, France",1.916319,49.008107
Senegal,H,20,FW,Keita Baldé,1995-03-08,23,17,3,Monaco,1,https://en.wikipedia.org/wiki/Keita_Bald%C3%A9,"Arbúcies, Spain",2.511129,41.8165773
Senegal,H,21,DF,Lamine Gassama,1989-10-20,28,35,0,Alanyaspor,1,https://en.wikipedia.org/wiki/Lamine_Gassama,"Marseille, France",5.36978,43.296482
Senegal,H,22,DF,Moussa Wagué,1998-10-04,19,9,0,Eupen,1,https://en.wikipedia.org/wiki/Moussa_Wagu%C3%A9,"Bignona, Senegal",-16.2345633,12.8050911
Senegal,H,23,GK,Alfred Gomis,1993-09-05,24,1,0,SPAL,1,https://en.wikipedia.org/wiki/Alfred_Gomis,"Ziguinchor, Senegal",-16.2639825,12.5641479
